VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
2309, 1797, -3.24023,  12.14063, -4.1875,  1.00, -0.33858,  0.73228, -0.59055,  0.00,  0.45882,  0.96078,  0.69412,  0.3451,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2310, 1798, -1.44629,  11.89063, -4.625,  1.00, -0.11811,  0.73228, -0.66929,  0.00,  0.56471,  0.99608,  0.48235,  0.40784,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2311, 1797, -3.24023,  12.14063, -4.1875,  1.00, -0.33858,  0.73228, -0.59055,  0.00,  0.45882,  0.96078,  0.69412,  0.3451,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2312, 1796, -0.95166,  11.875, -3.10938,  1.00, -0.07087,  0.82677, -0.55906,  0.00,  0.45882,  0.96078,  0.69412,  0.50196,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2313, 1799, -1.3125,  12.64063, -2.07813,  1.00, -0.11024,  0.90551, -0.40945,  0.00,  0.6549,  0.91765,  0.27059,  0.14118,  1.04785,  0.68164, -0.52246,  0.80566, ---, ---, ---, ---
2314, 1800,  0.32983,  12.11719, -1.92676,  1.00,  0.15748,  0.89764, -0.40157,  0.00,  0.76078,  0.74118,  0.14902,  0.28235,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2315, 1801, -1.64453,  11.99219, -3.48242,  1.00, -0.14173,  0.80315, -0.5748,  0.00,  0.76078,  0.74118,  0.14902,  0.20392,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2316, 1802, -0.73438,  10.89844, -2.80469,  1.00, -0.05512,  0.81102, -0.58268,  0.00,  0.80784,  0.51373,  0.10588,  0.43922,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2317, 1801, -1.64453,  11.99219, -3.48242,  1.00, -0.14173,  0.80315, -0.5748,  0.00,  0.76078,  0.74118,  0.14902,  0.20392,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2318, 1800,  0.32983,  12.11719, -1.92676,  1.00,  0.15748,  0.89764, -0.40157,  0.00,  0.76078,  0.74118,  0.14902,  0.28235,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2319, 1803,  0.16541,  12.10938, -2.05469,  1.00,  0.10236,  0.89764, -0.4252,  0.00,  0.31373,  0.92157,  0.69412,  0.32941,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2320, 1804, -0.09467,  12.57813, -3.30273,  1.00,  0.06299,  0.84252, -0.53543,  0.00,  0.31373,  0.92157,  0.69412,  0.74902,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2321, 1805, -1.45508,  11.99219, -3.33984,  1.00, -0.12598,  0.8189, -0.56693,  0.00,  0.31373,  0.92157,  0.69412,  0.48627,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2322, 1806, -1.74902,  12.26563, -1.27441,  1.00, -0.20472,  0.92126, -0.33071,  0.00,  0.86667,  0.16078,  0.51765,  0.43922,  0.99658,  0.71875, -0.52246,  0.80566, ---, ---, ---, ---
2323, 1807, -1.45605,  12.48438, -3.1582,  1.00, -0.12598,  0.84252, -0.52756,  0.00,  0.86667,  0.16078,  0.51765,  0.5451,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2324, 1808, -1.01758,  13.01563, -1.97266,  1.00, -0.07087,  0.92126, -0.38583,  0.00,  0.86667,  0.16078,  0.51765,  0.14118,  0.3064,  1.00293, -0.52246,  0.80566, ---, ---, ---, ---
2325, 1809, -1.19336,  11.46875, -2.35742,  1.00, -0.11024,  0.84252, -0.51969,  0.00,  0.95294,  0.6902,  0.59608,  0.4549,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2326, 1810, -1.41309,  12.50, -3.37305,  1.00, -0.11811,  0.83465, -0.54331,  0.00,  0.81176,  0.88235,  0.59216,  0.74902,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2327, 1811, -1.7832,  12.24219, -1.08496,  1.00, -0.2126,  0.94488, -0.25984,  0.00,  0.81176,  0.88235,  0.59216,  0.3451,  0.30396,  1.00586, -0.52246,  0.80566, ---, ---, ---, ---
2328, 1812, -2.60547,  12.61719, -2.53516,  1.00, -0.28346,  0.85039, -0.44882,  0.00,  0.60,  0.98431,  0.56863,  0.52941,  0.01697,  0.25366, -0.52246,  0.80566, ---, ---, ---, ---
2329, 1811, -1.7832,  12.24219, -1.08496,  1.00, -0.2126,  0.94488, -0.25984,  0.00,  0.81176,  0.88235,  0.59216,  0.3451,  0.30396,  1.00586, -0.52246,  0.80566, ---, ---, ---, ---
2330, 1810, -1.41309,  12.50, -3.37305,  1.00, -0.11811,  0.83465, -0.54331,  0.00,  0.81176,  0.88235,  0.59216,  0.74902,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2331, 1813, -2.22656,  10.34375, -4.11719,  1.00, -0.29134,  0.64567, -0.70866,  0.00,  0.68235,  0.84706,  0.81176,  0.06275,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2332, 1814, -2.91406,  9.48438, -2.76563,  1.00, -0.40945,  0.62992, -0.65354,  0.00,  0.75686,  0.63922,  0.90588,  0.4549,  0.30396,  1.00586, -0.82617,  0.09851, ---, ---, ---, ---
2333, 1815, -0.80225,  9.63281, -4.16016,  1.00, -0.07087,  0.61417, -0.7874,  0.00,  0.75686,  0.63922,  0.90588,  0.48627,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2334, 1816, -1.77734,  8.42969, -3.78711,  1.00, -0.19685,  0.50394, -0.84252,  0.00,  0.77647,  0.40392,  0.90588,  0.60784,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2335, 1815, -0.80225,  9.63281, -4.16016,  1.00, -0.07087,  0.61417, -0.7874,  0.00,  0.75686,  0.63922,  0.90588,  0.48627,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2336, 1814, -2.91406,  9.48438, -2.76563,  1.00, -0.40945,  0.62992, -0.65354,  0.00,  0.75686,  0.63922,  0.90588,  0.4549,  0.30396,  1.00586, -0.82617,  0.09851, ---, ---, ---, ---
2337, 1817, -2.74023,  9.50, -2.88086,  1.00, -0.3937,  0.6378, -0.66929,  0.00,  0.38824,  0.96863,  0.37255,  0.14118,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2338, 1818, -1.44824,  9.875, -2.63281,  1.00, -0.14961,  0.73228, -0.66142,  0.00,  0.38824,  0.96863,  0.37255,  0.15686,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2339, 1819, -1.00,  9.60938, -4.02734,  1.00, -0.09449,  0.61417, -0.77953,  0.00,  0.38824,  0.96863,  0.37255,  0.03137,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2340, 1820, -1.62109,  8.57813, -5.83203,  1.00, -0.14961,  0.43307, -0.88976,  0.00,  0.13725,  0.25882,  0.74118,  0.82745,  0.99658,  0.71875,  0.13074,  0.01502, ---, ---, ---, ---
2341, 1821, -1.25781,  9.58594, -4.28125,  1.00, -0.11811,  0.6063, -0.7874,  0.00,  0.13725,  0.25882,  0.74118,  0.67059,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2342, 1822, -2.03516,  9.64844, -5.37891,  1.00, -0.18898,  0.52756, -0.82677,  0.00,  0.13725,  0.25882,  0.74118,  0.62353,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2343, 1823, -1.80664,  8.41406, -4.42578,  1.00, -0.18898,  0.48031, -0.85827,  0.00,  0.05098,  0.71373,  0.46275,  0.63922,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2344, 1824, -1.22559,  9.69531, -4.09766,  1.00, -0.11811,  0.61417, -0.77953,  0.00,  0.19216,  0.85882,  0.33725,  0.50196,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2345, 1825, -1.65234,  8.47656, -5.99219,  1.00, -0.14961,  0.3937, -0.90551,  0.00,  0.19216,  0.85882,  0.33725,  0.87451,  0.30396,  1.00586,  0.13074,  0.01502, ---, ---, ---, ---
2346, 1826, -0.39697,  9.24219, -5.18359,  1.00,  0.05512,  0.51181, -0.85827,  0.00,  0.40392,  0.92157,  0.25098,  0.70196,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2347, 1825, -1.65234,  8.47656, -5.99219,  1.00, -0.14961,  0.3937, -0.90551,  0.00,  0.19216,  0.85882,  0.33725,  0.87451,  0.30396,  1.00586,  0.13074,  0.01502, ---, ---, ---, ---
2348, 1824, -1.22559,  9.69531, -4.09766,  1.00, -0.11811,  0.61417, -0.77953,  0.00,  0.19216,  0.85882,  0.33725,  0.50196,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
