VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
83, 10,  1.27832,  0.46655,  3.00977,  1.00,  0.2126,  0.87402,  0.44094,  0.00,  1.00,  1.00,  1.00,  0.00,  0.23376,  0.30981,  0.23376,  0.30981, -0.74016,  0.44094, -0.50394, -1.00
84, 9,  0.15222,  0.5083,  3.22852,  1.00, -0.04724,  0.85827,  0.51969,  0.00,  1.00,  1.00,  1.00,  0.00,  0.3125,  0.2373,  0.3125,  0.2373, -0.82677,  0.25984, -0.50394, -1.00
85, 17, -0.77783, -0.32202,  4.53906,  1.00, -0.19685,  0.85827,  0.48031,  0.00,  1.00,  1.00,  1.00,  0.00,  0.32227,  0.08765,  0.32227,  0.08765, -0.85039,  0.09449, -0.51969, -1.00
86, 23,  1.07031, -0.32202,  4.76953,  1.00,  0.03937,  0.89764,  0.44882,  0.00,  1.00,  1.00,  1.00,  0.00,  0.16406,  0.15967,  0.16406,  0.15967, -0.7874,  0.30709, -0.53543, -1.00
87, 10,  1.27832,  0.46655,  3.00977,  1.00,  0.2126,  0.87402,  0.44094,  0.00,  1.00,  1.00,  1.00,  0.00,  0.23376,  0.30981,  0.23376,  0.30981, -0.74016,  0.44094, -0.50394, -1.00
88, 23,  1.07031, -0.32202,  4.76953,  1.00,  0.03937,  0.89764,  0.44882,  0.00,  1.00,  1.00,  1.00,  0.00,  0.16406,  0.15967,  0.16406,  0.15967, -0.7874,  0.30709, -0.53543, -1.00
89, 24,  2.81836, -0.32202,  4.42969,  1.00,  0.2126,  0.92126,  0.33071,  0.00,  1.00,  1.00,  1.00,  0.00,  0.04657,  0.29321,  0.04657,  0.29321, -0.74803,  0.37008, -0.55906, -1.00
90, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
91, 10,  1.27832,  0.46655,  3.00977,  1.00,  0.2126,  0.87402,  0.44094,  0.00,  1.00,  1.00,  1.00,  0.00,  0.23376,  0.30981,  0.23376,  0.30981, -0.74016,  0.44094, -0.50394, -1.00
92, 24,  2.81836, -0.32202,  4.42969,  1.00,  0.2126,  0.92126,  0.33071,  0.00,  1.00,  1.00,  1.00,  0.00,  0.04657,  0.29321,  0.04657,  0.29321, -0.74803,  0.37008, -0.55906, -1.00
93, 15,  3.1543,  0.48853,  0.34302,  1.00,  0.44094,  0.88189,  0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22095,  0.60986,  0.22095,  0.60986, -0.77165,  0.46457, -0.43307, -1.00
94, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
95, 25,  4.34375, -0.32202,  1.55664,  1.00,  0.38583,  0.89764,  0.20472,  0.00,  1.00,  1.00,  1.00,  0.00,  0.06439,  0.57568,  0.06439,  0.57568, -0.76378,  0.43307, -0.48031, -1.00
96, 26,  3.80664, -0.32202,  3.08789,  1.00,  0.37008,  0.90551,  0.20472,  0.00,  1.00,  1.00,  1.00,  0.00,  0.03448,  0.43774,  0.03448,  0.43774, -0.74803,  0.41732, -0.51181, -1.00
97, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
98, 24,  2.81836, -0.32202,  4.42969,  1.00,  0.2126,  0.92126,  0.33071,  0.00,  1.00,  1.00,  1.00,  0.00,  0.04657,  0.29321,  0.04657,  0.29321, -0.74803,  0.37008, -0.55906, -1.00
99, 25,  4.34375, -0.32202,  1.55664,  1.00,  0.38583,  0.89764,  0.20472,  0.00,  1.00,  1.00,  1.00,  0.00,  0.06439,  0.57568,  0.06439,  0.57568, -0.76378,  0.43307, -0.48031, -1.00
100, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
101, 26,  3.80664, -0.32202,  3.08789,  1.00,  0.37008,  0.90551,  0.20472,  0.00,  1.00,  1.00,  1.00,  0.00,  0.03448,  0.43774,  0.03448,  0.43774, -0.74803,  0.41732, -0.51181, -1.00
102, 15,  3.1543,  0.48853,  0.34302,  1.00,  0.44094,  0.88189,  0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22095,  0.60986,  0.22095,  0.60986, -0.77165,  0.46457, -0.43307, -1.00
103, 27,  5.67969, -0.32202, -0.14612,  1.00,  0.32283,  0.94488,  0.07087,  0.00,  1.00,  1.00,  1.00,  0.00,  0.08624,  0.73633,  0.08624,  0.73633, -0.85039,  0.32283, -0.40945, -1.00
104, 16,  3.25,  0.46997, -0.92432,  1.00,  0.38583,  0.91339, -0.09449,  0.00,  1.00,  1.00,  1.00,  0.00,  0.27539,  0.71533,  0.27539,  0.71533, -0.84252,  0.31496, -0.43307, -1.00
