VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
350, 214, -0.51074,  1.87891, -1.00781,  1.00, -0.47244,  0.16535, -0.86614,  0.00,  0.6549,  0.84706,  0.17255,  0.29804,  0.54004,  0.0039,  0.12573,  0.81201, ---, ---, ---, ---
351, 219, -0.55322,  2.27734, -1.51758,  1.00, -0.34646,  0.24409, -0.90551,  0.00,  0.72941,  0.34902,  0.08235,  0.41961,  0.54053,  0.0048,  0.12573,  0.81201, ---, ---, ---, ---
352, 220, -0.31982,  2.42188, -1.18652,  1.00, -0.22835,  0.30709, -0.92126,  0.00,  0.72941,  0.34902,  0.08235,  0.39216,  0.94922,  0.2229,  0.12573,  0.81201, ---, ---, ---, ---
353, 221, -0.22046,  1.93652, -0.68457,  1.00, -0.40157,  0.18898, -0.89764,  0.00,  0.72941,  0.34902,  0.08235,  0.59608,  0.88379,  0.69629,  0.12573,  0.81201, ---, ---, ---, ---
354, 222, -0.06082,  2.33789, -1.62598,  1.00, -0.01575,  0.25984, -0.9685,  0.00,  0.59216,  0.26275,  0.92941,  0.29804,  0.4939,  0.0262,  0.12573,  0.81201, ---, ---, ---, ---
355, 223, -0.13269,  2.14648, -0.78516,  1.00, -0.14961,  0.25984, -0.95276,  0.00,  0.59216,  0.26275,  0.92941,  0.47059,  0.83545,  0.71875,  0.12573,  0.81201, ---, ---, ---, ---
356, 224, -0.25903,  2.50195, -1.11426,  1.00, -0.19685,  0.34646, -0.92126,  0.00,  0.59216,  0.26275,  0.92941,  0.40784,  0.90039,  0.24475,  0.12573,  0.81201, ---, ---, ---, ---
357, 225,  0.25952,  2.30859, -0.93164,  1.00,  0.37795,  0.29134, -0.88189,  0.00,  0.46667,  1.00,  0.50588,  0.56078,  0.88037,  0.69727,  0.12573,  0.81201, ---, ---, ---, ---
358, 226, -0.05301,  2.35938, -1.71484,  1.00, -0.00787,  0.25984, -0.9685,  0.00,  0.46275,  0.97255,  0.65882,  0.60784,  0.54004,  0.0039,  0.12573,  0.81201, ---, ---, ---, ---
359, 227, -0.13989,  2.12891, -0.70215,  1.00, -0.16535,  0.25984, -0.95276,  0.00,  0.41961,  0.80,  0.8902,  0.59216,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
360, 228, -0.28418,  2.01172, -1.4502,  1.00, -0.1811,  0.18898, -0.9685,  0.00,  0.43922,  0.67843,  0.96471,  0.79608,  0.09351,  0.25635,  0.12573,  0.81201, ---, ---, ---, ---
361, 227, -0.13989,  2.12891, -0.70215,  1.00, -0.16535,  0.25984, -0.95276,  0.00,  0.41961,  0.80,  0.8902,  0.59216,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
362, 226, -0.05301,  2.35938, -1.71484,  1.00, -0.00787,  0.25984, -0.9685,  0.00,  0.46275,  0.97255,  0.65882,  0.60784,  0.54004,  0.0039,  0.12573,  0.81201, ---, ---, ---, ---
363, 228, -0.28418,  2.01172, -1.4502,  1.00, -0.1811,  0.18898, -0.9685,  0.00,  0.43922,  0.67843,  0.96471,  0.79608,  0.09351,  0.25635,  0.12573,  0.81201, ---, ---, ---, ---
364, 229, -0.21838,  1.86426, -1.00293,  1.00, -0.18898,  0.16535, -0.9685,  0.00,  0.41176,  0.5451,  0.98824,  0.78039,  0.0531,  0.69824,  0.12573,  0.81201, ---, ---, ---, ---
365, 227, -0.13989,  2.12891, -0.70215,  1.00, -0.16535,  0.25984, -0.95276,  0.00,  0.41961,  0.80,  0.8902,  0.59216,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
366, 225,  0.25952,  2.30859, -0.93164,  1.00,  0.37795,  0.29134, -0.88189,  0.00,  0.46667,  1.00,  0.50588,  0.56078,  0.88037,  0.69727,  0.12573,  0.81201, ---, ---, ---, ---
367, 230,  0.30054,  2.26563, -1.42676,  1.00,  0.23622,  0.25197, -0.93701,  0.00,  0.52941,  0.97647,  0.35294,  0.78039,  0.94727,  0.22217,  0.12573,  0.81201, ---, ---, ---, ---
